,PostalCode,Subdistricts,Regency,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue,Cluster Labels
0,10110,GAMBIR,JAKARTA PUSAT,Indonesian Restaurant,Fast Food Restaurant,Food Truck,Soup Place,Cupcake Shop,Coffee Shop,Noodle House,Japanese Restaurant,Chinese Restaurant,Dumpling Restaurant,3
3,10140,DURI PULO,JAKARTA PUSAT,Soup Place,Indonesian Restaurant,Café,Food Truck,Pizza Place,Noodle House,Chinese Restaurant,Donut Shop,Indian Restaurant,Restaurant,3
4,10150,CIDENG,JAKARTA PUSAT,Noodle House,Indonesian Restaurant,Food Truck,Soup Place,Pizza Place,Donut Shop,Café,Seafood Restaurant,Bakery,Restaurant,3
5,10160,PETOJO SELATAN,JAKARTA PUSAT,Indonesian Restaurant,Food Truck,Coffee Shop,BBQ Joint,Restaurant,Noodle House,Food Court,Fast Food Restaurant,Dumpling Restaurant,Donut Shop,3
6,10210,BENDUNGAN HILIR,JAKARTA PUSAT,Indonesian Restaurant,Pizza Place,Acehnese Restaurant,Food Truck,Soup Place,Snack Place,Restaurant,Coffee Shop,Bistro,Chinese Restaurant,3
7,10220,KARET TENGSIN,JAKARTA PUSAT,Japanese Restaurant,Coffee Shop,Indonesian Restaurant,Asian Restaurant,Restaurant,Wine Bar,Sushi Restaurant,Café,Pizza Place,BBQ Joint,3
8,10230,KEBON MELATI,JAKARTA PUSAT,Soup Place,Indonesian Meatball Place,Indonesian Restaurant,Wine Bar,Chinese Restaurant,Dumpling Restaurant,Donut Shop,Dim Sum Restaurant,Dessert Shop,Cupcake Shop,3
9,10240,KEBON KACANG,JAKARTA PUSAT,Coffee Shop,Japanese Restaurant,Chinese Restaurant,Restaurant,Sushi Restaurant,Steakhouse,Café,Pizza Place,Asian Restaurant,Korean Restaurant,3
10,10250,KAMPUNG BALI,JAKARTA PUSAT,Indonesian Restaurant,Café,Bed & Breakfast,Fast Food Restaurant,Food Truck,Betawinese Restaurant,Food Court,Asian Restaurant,Beer Garden,Bakery,3
11,10260,PETAMBURAN,JAKARTA PUSAT,Indonesian Restaurant,Middle Eastern Restaurant,Coffee Shop,Indonesian Meatball Place,Food Truck,Asian Restaurant,Bakery,Bed & Breakfast,Fast Food Restaurant,Dumpling Restaurant,3
12,10270,GELORA,JAKARTA PUSAT,Café,Coffee Shop,Restaurant,Japanese Restaurant,Bakery,Indonesian Restaurant,Chinese Restaurant,Wine Bar,Sushi Restaurant,American Restaurant,3
13,10310,MENTENG,JAKARTA PUSAT,Coffee Shop,Fast Food Restaurant,Steakhouse,Bakery,Restaurant,Indonesian Restaurant,Italian Restaurant,Café,Chinese Restaurant,Dumpling Restaurant,3
14,10320,PEGANGSAAN,JAKARTA PUSAT,Indonesian Restaurant,Food Truck,Coffee Shop,Café,Fast Food Restaurant,Asian Restaurant,Vietnamese Restaurant,Snack Place,Donut Shop,Restaurant,3
15,10330,CIKINI,JAKARTA PUSAT,Indonesian Restaurant,Café,Betawinese Restaurant,Bakery,Noodle House,Coffee Shop,Japanese Restaurant,Asian Restaurant,Seafood Restaurant,Dessert Shop,3
16,10340,KEBON SIRIH,JAKARTA PUSAT,Indonesian Restaurant,Japanese Restaurant,Coffee Shop,Snack Place,Seafood Restaurant,Asian Restaurant,Café,Beer Garden,Donut Shop,Chinese Restaurant,3
18,10410,SENEN,JAKARTA PUSAT,Coffee Shop,Asian Restaurant,Japanese Restaurant,Donut Shop,Pizza Place,Italian Restaurant,Café,Chinese Restaurant,Indonesian Restaurant,Indonesian Meatball Place,3
19,10420,KWITANG,JAKARTA PUSAT,Indonesian Restaurant,Noodle House,Fast Food Restaurant,Wine Bar,Chinese Restaurant,Dumpling Restaurant,Donut Shop,Dim Sum Restaurant,Dessert Shop,Cupcake Shop,3
20,10430,KENARI,JAKARTA PUSAT,Fried Chicken Joint,Restaurant,Fast Food Restaurant,Donut Shop,Indonesian Restaurant,Coffee Shop,Food Truck,Food Court,Beer Garden,Betawinese Restaurant,3
22,10450,KRAMAT,JAKARTA PUSAT,Indonesian Restaurant,Noodle House,Donut Shop,Wine Bar,Chinese Restaurant,Fast Food Restaurant,Dumpling Restaurant,Dim Sum Restaurant,Dessert Shop,Cupcake Shop,3
25,10520,CEMPAKA PUTIH BARAT,JAKARTA PUSAT,Indonesian Restaurant,Café,Steakhouse,Indonesian Meatball Place,Bistro,Chinese Restaurant,Dumpling Restaurant,Donut Shop,Dim Sum Restaurant,Dessert Shop,3
26,10530,GALUR,JAKARTA PUSAT,Indonesian Restaurant,Café,Chinese Restaurant,Steakhouse,Fast Food Restaurant,Dumpling Restaurant,Donut Shop,Dim Sum Restaurant,Dessert Shop,Cupcake Shop,3
27,10540,TANAH TINGGI,JAKARTA PUSAT,Indonesian Restaurant,Pizza Place,Noodle House,Café,Fast Food Restaurant,Coffee Shop,Asian Restaurant,Indonesian Meatball Place,Dumpling Restaurant,Donut Shop,3
30,10570,RAWASARI,JAKARTA PUSAT,Food Truck,Seafood Restaurant,Restaurant,Pizza Place,Middle Eastern Restaurant,Indonesian Meatball Place,Korean Restaurant,Japanese Restaurant,Wine Bar,Café,3
31,10610,GUNUNG SAHARI SELATAN,JAKARTA PUSAT,Indonesian Restaurant,Wine Bar,Chinese Restaurant,Fast Food Restaurant,Dumpling Restaurant,Donut Shop,Dim Sum Restaurant,Dessert Shop,Cupcake Shop,Coffee Shop,3
33,10630,KEBON KOSONG,JAKARTA PUSAT,Indonesian Meatball Place,Food Court,Bakery,Seafood Restaurant,Cupcake Shop,Food Truck,Coffee Shop,Fast Food Restaurant,Dumpling Restaurant,Donut Shop,3
39,10710,PASAR BARU,JAKARTA PUSAT,Wine Bar,Coffee Shop,Donut Shop,Indonesian Restaurant,Italian Restaurant,Japanese Restaurant,Chinese Restaurant,Bakery,Beer Garden,Betawinese Restaurant,3
40,10720,GUNUNG SAHARI UTARA,JAKARTA PUSAT,Restaurant,Coffee Shop,Chinese Restaurant,Wine Bar,Café,Fast Food Restaurant,Dumpling Restaurant,Donut Shop,Dim Sum Restaurant,Dessert Shop,3
